n_universo, k, tiempo1,1,0.0000380
2,1,0.0000430
2,2,0.0000160
3,1,0.0000800
3,2,0.0000300
4,1,0.0000290
4,2,0.0000130
4,3,0.0000090
5,1,0.0000540
5,2,0.0000150
5,3,0.0000120
6,1,0.0000540
6,2,0.0000650
6,3,0.0000110
7,1,0.0000360
7,2,0.0000170
7,3,0.0000110
8,1,0.0000440
8,2,0.0000130
8,3,0.0000090
8,4,0.0000070
9,1,0.0000270
9,2,0.0000120
9,3,0.0000080
9,4,0.0000060
10,1,0.0000300
10,2,0.0000140
10,3,0.0000090
10,4,0.0000070
11,1,0.0000560
11,2,0.0000160
11,3,0.0000120
11,4,0.0000090
12,1,0.0000500
12,2,0.0000170
12,3,0.0000120
12,4,0.0000090
13,1,0.0000320
13,2,0.0000220
13,3,0.0000110
13,4,0.0000080
14,1,0.0000460
14,2,0.0000170
14,3,0.0000110
14,4,0.0000090
15,1,0.0000510
15,2,0.0000160
15,3,0.0000110
15,4,0.0000080
16,1,0.0000280
16,2,0.0000120
16,3,0.0000080
16,4,0.0000070
16,5,0.0000060
17,1,0.0000770
17,2,0.0000230
17,3,0.0000160
17,4,0.0000110
17,5,0.0000090
18,1,0.0000440
18,2,0.0000270
18,3,0.0000390
18,4,0.0000100
18,5,0.0000080
19,1,0.0000260
19,2,0.0000120
19,3,0.0000080
19,4,0.0000070
19,5,0.0000050
20,1,0.0000480
20,2,0.0000140
20,3,0.0000100
20,4,0.0000080
20,5,0.0000060
21,1,0.0000370
21,2,0.0000140
21,3,0.0000090
21,4,0.0000070
21,5,0.0000060
22,1,0.0000350
22,2,0.0000170
22,3,0.0000120
22,4,0.0000090
22,5,0.0000080
23,1,0.0000360
23,2,0.0000160
23,3,0.0000110
23,4,0.0000080
23,5,0.0000080
24,1,0.0000770
24,2,0.0000280
24,3,0.0000160
24,4,0.0000120
24,5,0.0000100
25,1,0.0000510
25,2,0.0000160
25,3,0.0000110
25,4,0.0000090
25,5,0.0000080
26,1,0.0000290
26,2,0.0000130
26,3,0.0000090
26,4,0.0000070
26,5,0.0000060
27,1,0.0000460
27,2,0.0000230
